deadline_id,related_type,related_id,client_id,deadline_type,due_date,description,priority,status,reminder_sent,completed_date,completed_by,cost,internal_notes,created_on,modified_on
DL-0015,patent,PT-0007,CL-0052,renewal,16-02-2026,Renewal for patent PT-0007 - Fee payment required,low,overdue,,,,,,2019-12-20,12/12/23
DL-0016,patent,PT-0007,CL-0052,continuation,11-07-2024,Continuation for patent PT-0007,low,completed,,2024-02-21,Lisa Davis,,Legacy deadline record,2021-04-18,18/05/24
DL-0017,patent,PT-0007,CL-0052,renewal,12/09/24,Renewal for patent PT-0007 - Fee payment required,low,overdue,,,,2498.06,,12/19/2018,03/04/2023
DL-0018,patent,PT-0007,CL-0052,filing,TBD,Filing for patent PT-0007,urgent,completed,,2023/11/10,Donald Morris,,,Unknown,
DL-0019,patent,PT-0008,CL-0055,examination response,"June 09, 2025",Examination Response for patent PT-0008 - Response to office action required,normal,completed,,02-22-2023,Michael Nelson,3922.11,,10/31/21,2024/02/06
DL-0020,patent,PT-0009,CL-0400,renewal,2024-05-06,Renewal for patent PT-0009 - Fee payment required,normal,overdue,,,,3480.28,,06/08/2022,2024-09-20
DL-0021,patent,PT-0009,CL-0400,annuity,2026/11/09,Annuity for patent PT-0009,critical,overdue,,,,,,10/12/2021,25 June 2023
DL-0022,patent,PT-0010,CL-0165,renewal,"March 07, 2024",Renewal for patent PT-0010 - Fee payment required,high,cancelled,,,,3687.26,,15-08-2018,
DL-0023,patent,PT-0010,CL-0165,annuity,01/07/2027,Annuity for patent PT-0010,critical,cancelled,,,,1852.5,,2019/05/05,01/18/23
DL-0024,patent,PT-0010,CL-0165,continuation,08-06-2024,Continuation for patent PT-0010,medium,cancelled,,,,,,2022-10-31,
DL-0025,patent,PT-0011,CL-0348,filing,15 July 2027,Filing for patent PT-0011,normal,pending,yes,,,2807.04,,2018-06-14,10/06/24
DL-0026,patent,PT-0011,CL-0348,examination response,15/05/2025,Examination Response for patent PT-0011 - Response to office action required,normal,overdue,,,,,Legacy deadline record,01/12/19,
DL-0027,patent,PT-0012,CL-0309,continuation,11/18/2026,Continuation for patent PT-0012,medium,pending,Y,,,3434.27,Legacy deadline record,TBD,2024/04/28
DL-0028,patent,PT-0012,CL-0309,filing,06-02-2027,Filing for patent PT-0012,medium,cancelled,,,,3844.51,Legacy deadline record,N/A,06/12/24
DL-0029,patent,PT-0012,CL-0309,annuity,"March 10, 2025",Annuity for patent PT-0012,high,cancelled,,,,2409.7,Legacy deadline record,07/22/2023,
DL-0030,patent,PT-0012,CL-0309,filing,06-07-2026,Filing for patent PT-0012,low,pending,,,,1821.63,,11/09/22,
DL-0031,patent,PT-0013,CL-0320,renewal,07/20/28,Renewal for patent PT-0013 - Fee payment required,critical,completed,,2023-08-28,Betty Jones,3836.0,,02/12/2020,20-06-2024
DL-0032,patent,PT-0013,CL-0320,continuation,08/25/25,Continuation for patent PT-0013,normal,overdue,,,,3842.33,,04-20-2019,
DL-0033,patent,PT-0013,CL-0320,examination response,03/06/25,Examination Response for patent PT-0013 - Response to office action required,low,overdue,,,,,Legacy deadline record,07-02-2020,11/23/2023
DL-0034,patent,PT-0013,CL-0320,filing,18-08-2025,Filing for patent PT-0013,urgent,completed,,23-09-2023,Sandra Morris,4947.48,,"May 15, 2020",
DL-0035,patent,PT-0014,CL-0009,renewal,2026-06-11,Renewal for patent PT-0014 - Fee payment required,normal,pending,,,,4950.36,,31/10/18,
DL-0036,patent,PT-0014,CL-0009,annuity,"December 20, 2025",Annuity for patent PT-0014,medium,cancelled,,,,,,05 April 2020,
DL-0037,patent,PT-0014,CL-0009,filing,09/04/2024,Filing for patent PT-0014,medium,overdue,,,,4434.87,,01-11-2022,
DL-0038,patent,PT-0015,CL-0190,filing,09-07-2026,Filing for patent PT-0015,low,overdue,,,,653.47,,Unknown,05-30-2024
DL-0039,patent,PT-0015,CL-0190,renewal,09/08/25,Renewal for patent PT-0015 - Fee payment required,urgent,cancelled,,,,2008.8,Legacy deadline record,05/07/21,
DL-0040,patent,PT-0015,CL-0190,examination response,2024-09-18,Examination Response for patent PT-0015 - Response to office action required,urgent,completed,,01-12-2024,Charles Carter,,,25-09-2019,
DL-0041,patent,PT-0016,CL-0340,renewal,16-01-2030,Renewal for patent PT-0016 - Fee payment required,medium,overdue,,,,,,"July 17, 2019",Unknown
DL-0042,patent,PT-0016,CL-0340,annuity,16/06/27,Annuity for patent PT-0016,normal,overdue,,,,966.2,,18-08-2022,08-08-2024
DL-0043,patent,PT-0016,CL-0340,examination response,2024/06/22,Examination Response for patent PT-0016 - Response to office action required,critical,completed,,04/12/24,Steven Parker,,,02/12/2018,2024/09/11
DL-0044,patent,PT-0017,CL-0115,annuity,02/05/2027,Annuity for patent PT-0017,medium,pending,no,,,3984.98,,12-04-2020,
DL-0045,patent,PT-0017,CL-0115,renewal,16-06-2027,Renewal for patent PT-0017 - Fee payment required,critical,overdue,,,,,,09/07/2018,18-01-2024
DL-0046,patent,PT-0017,CL-0115,examination response,"February 05, 2025",Examination Response for patent PT-0017 - Response to office action required,high,pending,,,,,,2022-07-22,
DL-0047,patent,PT-0018,CL-0063,filing,2025-04-06,Filing for patent PT-0018,urgent,overdue,,,,,,09/01/2019,10 July 2024
DL-0048,patent,PT-0018,CL-0063,continuation,02-10-2024,Continuation for patent PT-0018,critical,completed,,19/05/24,Nancy Gomez,708.53,,01/08/2021,02/07/2024
DL-0049,patent,PT-0018,CL-0063,filing,01/26/27,Filing for patent PT-0018,high,pending,yes,,,,,07-12-2018,23-12-2024
DL-0050,patent,PT-0019,CL-0329,filing,07 November 2026,Filing for patent PT-0019,normal,cancelled,,,,,,2022/12/18,"September 23, 2024"
DL-0051,patent,PT-0019,CL-0329,annuity,11/30/2027,Annuity for patent PT-0019,low,completed,,22/05/24,Kevin Johnson,1768.76,,2019/09/27,24/08/2024
DL-0052,patent,PT-0019,CL-0329,examination response,09/30/25,Examination Response for patent PT-0019 - Response to office action required,urgent,pending,no,,,1891.49,,"April 30, 2023",
DL-0053,patent,PT-0020,CL-0103,renewal,29/04/2030,Renewal for patent PT-0020 - Fee payment required,normal,pending,Y,,,,,2018/02/21,04/05/23
DL-0054,patent,PT-0020,CL-0103,renewal,2026/11/09,Renewal for patent PT-0020 - Fee payment required,low,completed,,11/13/24,Dorothy King,674.44,,02/05/18,
DL-0055,patent,PT-0020,CL-0103,continuation,26 October 2025,Continuation for patent PT-0020,normal,completed,,2023/11/24,Carol Gomez,1714.92,,20-12-2023,
DL-0056,patent,PT-0020,CL-0103,renewal,16/10/26,Renewal for patent PT-0020 - Fee payment required,low,completed,,15/10/2024,Matthew Reyes,276.32,Legacy deadline record,2023-06-06,05-11-2023
DL-0057,patent,PT-0021,CL-0129,continuation,08-20-2025,Continuation for patent PT-0021,urgent,cancelled,,,,,Legacy deadline record,17/10/20,2024/12/19
DL-0058,patent,PT-0021,CL-0129,annuity,17 June 2026,Annuity for patent PT-0021,medium,completed,,TBD,Linda Walker,2613.31,Legacy deadline record,12/23/2023,2024-08-16
DL-0059,patent,PT-0022,CL-0140,examination response,03/23/25,Examination Response for patent PT-0022 - Response to office action required,normal,pending,N,,,,,10/30/2019,28/08/2024
DL-0060,patent,PT-0023,CL-0223,renewal,01/07/27,Renewal for patent PT-0023 - Fee payment required,medium,overdue,,,,4149.16,,2019/12/01,
DL-0061,patent,PT-0023,CL-0223,annuity,2025-01-17,Annuity for patent PT-0023,urgent,cancelled,,,,2312.34,Legacy deadline record,18 July 2019,
DL-0062,patent,PT-0023,CL-0223,annuity,01-01-2027,Annuity for patent PT-0023,critical,completed,,"May 19, 2023",Michelle Martinez,1052.11,,"December 31, 2019",06/15/2023
DL-0063,patent,PT-0024,CL-0304,renewal,09-28-2024,Renewal for patent PT-0024 - Fee payment required,critical,cancelled,,,,4582.64,,2021/01/10,25-06-2024
DL-0064,patent,PT-0024,CL-0304,examination response,12/24/2025,Examination Response for patent PT-0024 - Response to office action required,high,cancelled,,,,1393.49,,N/A,17 January 2024
DL-0065,patent,PT-0025,CL-0493,examination response,00/00/0000,Examination Response for patent PT-0025 - Response to office action required,critical,completed,,02/11/2023,Steven Anderson,,,22-05-2021,
DL-0066,patent,PT-0025,CL-0493,continuation,Unknown,Continuation for patent PT-0025,low,overdue,,,,2088.84,,12/04/2021,11/19/24
DL-0067,patent,PT-0025,CL-0493,annuity,2024/07/16,Annuity for patent PT-0025,critical,overdue,,,,1825.87,Legacy deadline record,Unknown,23 August 2024
DL-0068,patent,PT-0026,CL-0156,filing,2026/03/17,Filing for patent PT-0026,urgent,overdue,,,,,Legacy deadline record,"January 19, 2021",TBD
DL-0069,patent,PT-0026,CL-0156,continuation,2024-06-13,Continuation for patent PT-0026,low,completed,,06/20/24,William Jackson,2388.28,,06/20/2019,
DL-0070,patent,PT-0026,CL-0156,continuation,2027/07/28,Continuation for patent PT-0026,medium,completed,,10 July 2024,Kenneth Jackson,3668.8,,31-08-2019,08/23/24
DL-0071,patent,PT-0027,CL-0207,examination response,01/04/2024,Examination Response for patent PT-0027 - Response to office action required,urgent,pending,yes,,,2975.91,Legacy deadline record,22/05/20,08-25-2023
DL-0072,patent,PT-0028,CL-0097,continuation,10-05-2025,Continuation for patent PT-0028,medium,overdue,,,,681.32,Legacy deadline record,2021/01/20,
DL-0073,patent,PT-0029,CL-0207,continuation,"November 02, 2026",Continuation for patent PT-0029,high,completed,,12/11/24,Gary Martin,2879.26,,29/09/2018,07/06/24
DL-0074,patent,PT-0030,CL-0178,examination response,05-23-2024,Examination Response for patent PT-0030 - Response to office action required,high,pending,N,,,2836.25,,07/12/21,21/10/24
DL-0075,patent,PT-0030,CL-0178,filing,07 July 2024,Filing for patent PT-0030,low,pending,,,,4296.27,,03/04/2022,
DL-0076,patent,PT-0031,CL-0132,filing,04/04/2026,Filing for patent PT-0031,normal,pending,no,,,111.06,,13 July 2020,
DL-0077,patent,PT-0031,CL-0132,filing,28 June 2025,Filing for patent PT-0031,normal,cancelled,,,,,,02-22-2018,2023/05/04
DL-0078,patent,PT-0031,CL-0132,annuity,04-23-2027,Annuity for patent PT-0031,high,pending,,,,,,24 May 2023,26/09/2024
DL-0079,patent,PT-0031,CL-0132,examination response,"July 16, 2025",Examination Response for patent PT-0031 - Response to office action required,urgent,overdue,,,,1517.07,,2022/02/21,
DL-0080,patent,PT-0032,CL-0147,filing,24 July 2024,Filing for patent PT-0032,normal,completed,,29-07-2023,Laura Morales,2823.8,,04-18-2019,
DL-0081,patent,PT-0032,CL-0147,examination response,12/09/2024,Examination Response for patent PT-0032 - Response to office action required,high,overdue,,,,4093.71,,26-01-2018,
DL-0082,patent,PT-0032,CL-0147,annuity,16-04-2027,Annuity for patent PT-0032,normal,completed,,2023-04-18,James Moore,,,2022-05-10,2023-05-09
DL-0083,patent,PT-0033,CL-0409,renewal,02-05-2029,Renewal for patent PT-0033 - Fee payment required,low,pending,N,,,4375.49,,2019/09/11,
DL-0084,patent,PT-0034,CL-0380,annuity,13 April 2027,Annuity for patent PT-0034,low,completed,,22-08-2024,Donna Clark,1982.12,,2020/05/20,13 January 2023
DL-0085,patent,PT-0034,CL-0380,annuity,01/08/24,Annuity for patent PT-0034,critical,overdue,,,,,,21 February 2020,30/12/2023
DL-0086,patent,PT-0035,CL-0086,examination response,2024/03/01,Examination Response for patent PT-0035 - Response to office action required,low,pending,Y,,,3957.57,,2021/06/25,
DL-0087,patent,PT-0035,CL-0086,annuity,08/20/26,Annuity for patent PT-0035,medium,overdue,,,,4736.85,,02/07/20,2023-11-12
DL-0088,patent,PT-0035,CL-0086,filing,07/26/25,Filing for patent PT-0035,normal,pending,no,,,2688.25,,09-07-2021,09-09-2023
DL-0089,patent,PT-0035,CL-0086,continuation,24/03/2027,Continuation for patent PT-0035,critical,cancelled,,,,,,02/27/2020,
DL-0090,patent,PT-0036,CL-0244,examination response,04/07/24,Examination Response for patent PT-0036 - Response to office action required,medium,cancelled,,,,1774.09,,2020/04/27,
DL-0091,patent,PT-0036,CL-0244,renewal,24/01/2026,Renewal for patent PT-0036 - Fee payment required,normal,pending,Y,,,3179.42,,14/10/22,
DL-0092,patent,PT-0036,CL-0244,annuity,2026-09-02,Annuity for patent PT-0036,low,overdue,,,,274.26,,11/15/23,25-10-2023
DL-0093,patent,PT-0037,CL-0202,continuation,25/09/2026,Continuation for patent PT-0037,low,completed,,29/07/23,Dorothy Martin,,,03/12/19,2024-01-24
DL-0094,patent,PT-0037,CL-0202,renewal,05/12/2027,Renewal for patent PT-0037 - Fee payment required,low,cancelled,,,,,,11/26/2018,27/11/24
DL-0095,patent,PT-0037,CL-0202,continuation,N/A,Continuation for patent PT-0037,critical,cancelled,,,,2159.04,,25/08/20,
DL-0096,patent,PT-0037,CL-0202,filing,07/20/2026,Filing for patent PT-0037,medium,pending,,,,1443.76,Legacy deadline record,06/13/23,
DL-0097,patent,PT-0038,CL-0404,annuity,30 November 2027,Annuity for patent PT-0038,high,cancelled,,,,2928.06,Legacy deadline record,10/06/20,15/02/2023
DL-0098,patent,PT-0038,CL-0404,filing,11/21/2025,Filing for patent PT-0038,normal,cancelled,,,,2647.82,,07/08/2023,01-26-2024
DL-0099,patent,PT-0039,CL-0239,annuity,31/05/25,Annuity for patent PT-0039,medium,completed,,2023-03-17,Ryan Cruz,1902.97,,"April 02, 2021",
DL-0100,patent,PT-0039,CL-0239,annuity,2024-08-24,Annuity for patent PT-0039,critical,overdue,,,,563.04,,2018/06/21,N/A
DL-0101,patent,PT-0039,CL-0239,annuity,01/02/24,Annuity for patent PT-0039,normal,cancelled,,,,,,"February 13, 2023",12/08/23
DL-0102,patent,PT-0039,CL-0239,renewal,TBD,Renewal for patent PT-0039 - Fee payment required,low,cancelled,,,,3268.58,Legacy deadline record,N/A,17-11-2023
DL-0103,patent,PT-0040,CL-0120,filing,08/24/2024,Filing for patent PT-0040,low,cancelled,,,,,,04-05-2018,11/08/2023
DL-0104,patent,PT-0040,CL-0120,renewal,2029/05/13,Renewal for patent PT-0040 - Fee payment required,normal,completed,,09 January 2024,Ronald Taylor,,,24 April 2019,
DL-0105,patent,PT-0040,CL-0120,continuation,02/01/2026,Continuation for patent PT-0040,urgent,cancelled,,,,404.85,,03-01-2022,28/07/24
DL-0106,patent,PT-0040,CL-0120,examination response,"July 17, 2024",Examination Response for patent PT-0040 - Response to office action required,medium,overdue,,,,3992.55,,01-16-2021,
DL-0107,patent,PT-0041,CL-0214,annuity,2027-07-01,Annuity for patent PT-0041,medium,pending,Y,,,2479.5,,2023-11-08,
DL-0108,patent,PT-0041,CL-0214,filing,29 October 2027,Filing for patent PT-0041,high,pending,no,,,4635.1,,17/11/21,
DL-0109,patent,PT-0041,CL-0214,filing,2025/07/14,Filing for patent PT-0041,critical,pending,yes,,,,,2018-11-19,04/20/24
DL-0110,patent,PT-0042,CL-0218,renewal,12/09/24,Renewal for patent PT-0042 - Fee payment required,normal,pending,Y,,,3506.13,,01-03-2021,
DL-0111,patent,PT-0042,CL-0218,renewal,11-03-2030,Renewal for patent PT-0042 - Fee payment required,high,pending,Y,,,3321.2,,05-29-2021,
DL-0112,patent,PT-0043,CL-0169,renewal,"January 03, 2025",Renewal for patent PT-0043 - Fee payment required,medium,overdue,,,,2912.72,,2023/04/28,
DL-0113,patent,PT-0043,CL-0169,continuation,20/08/2024,Continuation for patent PT-0043,high,pending,N,,,2535.54,,13/08/21,
DL-0114,patent,PT-0043,CL-0169,filing,2024-05-21,Filing for patent PT-0043,low,completed,,,Gary Jackson,4252.92,,07-07-2022,28/10/24
DL-0115,patent,PT-0044,CL-0161,filing,"May 15, 2027",Filing for patent PT-0044,high,cancelled,,,,4380.91,,07/30/2020,2023/03/03
DL-0116,patent,PT-0044,CL-0161,examination response,26/04/24,Examination Response for patent PT-0044 - Response to office action required,normal,cancelled,,,,618.19,,02/28/22,
DL-0117,patent,PT-0044,CL-0161,examination response,2024-02-11,Examination Response for patent PT-0044 - Response to office action required,normal,completed,,2024-06-05,Ruth Williams,2462.29,,03/11/2018,
DL-0118,patent,PT-0044,CL-0161,annuity,28-12-2024,Annuity for patent PT-0044,normal,overdue,,,,1644.66,Legacy deadline record,05/11/2020,
DL-0119,patent,PT-0045,CL-0372,annuity,01 September 2026,Annuity for patent PT-0045,critical,cancelled,,,,4156.37,,20/05/2018,
DL-0120,patent,PT-0045,CL-0372,renewal,11-03-2028,Renewal for patent PT-0045 - Fee payment required,low,cancelled,,,,,,19/02/2023,02-15-2023
DL-0121,patent,PT-0045,CL-0372,examination response,2025/09/25,Examination Response for patent PT-0045 - Response to office action required,high,pending,yes,,,3042.55,,22/07/2023,
DL-0122,patent,PT-0045,CL-0372,renewal,09/06/28,Renewal for patent PT-0045 - Fee payment required,normal,cancelled,,,,,Legacy deadline record,17/11/21,12/22/24
DL-0123,patent,PT-0046,CL-0422,renewal,07-05-2027,Renewal for patent PT-0046 - Fee payment required,high,overdue,,,,,,04/29/2018,09-11-2023
DL-0124,patent,PT-0047,CL-0063,annuity,2026-05-05,Annuity for patent PT-0047,critical,completed,,10 August 2024,Laura Lee,4069.86,,2018-02-20,
DL-0125,patent,PT-0047,CL-0063,filing,07-03-2024,Filing for patent PT-0047,critical,overdue,,,,397.51,,20-10-2023,
DL-0126,patent,PT-0047,CL-0063,filing,10-09-2027,Filing for patent PT-0047,medium,completed,,00/00/0000,Donna Robinson,,Legacy deadline record,12-07-2020,
DL-0127,patent,PT-0047,CL-0063,examination response,24/12/24,Examination Response for patent PT-0047 - Response to office action required,medium,overdue,,,,3802.68,,01-23-2020,
DL-0128,patent,PT-0048,CL-0489,continuation,14-10-2026,Continuation for patent PT-0048,medium,cancelled,,,,,,2018/11/01,29/01/24
DL-0129,patent,PT-0048,CL-0489,filing,"November 03, 2026",Filing for patent PT-0048,normal,completed,,TBD,Richard Thompson,857.71,,01/10/20,12 January 2023
DL-0130,patent,PT-0048,CL-0489,continuation,10/23/2025,Continuation for patent PT-0048,normal,cancelled,,,,2732.93,,05-27-2023,01-22-2023
DL-0131,patent,PT-0048,CL-0489,continuation,27/02/25,Continuation for patent PT-0048,low,cancelled,,,,,,02/12/2022,
DL-0132,patent,PT-0049,CL-0287,examination response,2025/08/24,Examination Response for patent PT-0049 - Response to office action required,low,pending,Y,,,,,2019/11/23,
DL-0133,patent,PT-0049,CL-0287,renewal,05-03-2029,Renewal for patent PT-0049 - Fee payment required,medium,completed,,13/07/23,Jason Martin,3621.82,,05 August 2021,03/03/2023
DL-0134,patent,PT-0049,CL-0287,annuity,01/23/25,Annuity for patent PT-0049,critical,overdue,,,,,Legacy deadline record,06/26/2020,
DL-0135,patent,PT-0050,CL-0412,annuity,10/26/24,Annuity for patent PT-0050,critical,cancelled,,,,,Legacy deadline record,20 May 2023,
DL-0136,patent,PT-0051,CL-0470,examination response,"March 27, 2024",Examination Response for patent PT-0051 - Response to office action required,medium,cancelled,,,,3190.92,,03/25/23,
DL-0137,patent,PT-0051,CL-0470,filing,2026/11/26,Filing for patent PT-0051,urgent,cancelled,,,,1128.68,,2022/09/28,10/03/23
DL-0138,patent,PT-0051,CL-0470,continuation,"January 06, 2024",Continuation for patent PT-0051,critical,cancelled,,,,,,30/10/20,
DL-0139,patent,PT-0052,CL-0464,filing,13 May 2024,Filing for patent PT-0052,high,cancelled,,,,,,2023-11-21,
DL-0140,patent,PT-0052,CL-0464,filing,2025/10/03,Filing for patent PT-0052,medium,cancelled,,,,,,2023/09/05,
DL-0141,patent,PT-0053,CL-0180,continuation,12/06/26,Continuation for patent PT-0053,urgent,pending,Y,,,,,2021-11-14,
DL-0142,patent,PT-0053,CL-0180,continuation,02/23/24,Continuation for patent PT-0053,urgent,completed,,"June 27, 2023",Jason King,2138.29,,2018/03/16,
DL-0143,patent,PT-0054,CL-0467,continuation,05/04/25,Continuation for patent PT-0054,low,cancelled,,,,,,2019-12-01,
DL-0144,patent,PT-0055,CL-0331,annuity,13/02/2027,Annuity for patent PT-0055,high,pending,Y,,,,Legacy deadline record,14/05/2020,18-10-2023
DL-0145,patent,PT-0056,CL-0160,renewal,28/10/24,Renewal for patent PT-0056 - Fee payment required,high,cancelled,,,,1715.19,,05-10-2023,
DL-0146,patent,PT-0057,CL-0183,annuity,TBD,Annuity for patent PT-0057,normal,completed,,10/14/23,David Perez,3863.45,,21/06/23,
DL-0147,patent,PT-0058,CL-0211,annuity,2026/06/11,Annuity for patent PT-0058,high,pending,Y,,,318.74,,09/09/2018,
DL-0148,patent,PT-0058,CL-0211,examination response,"August 20, 2024",Examination Response for patent PT-0058 - Response to office action required,normal,overdue,,,,,Legacy deadline record,10/17/23,22 October 2024
DL-0149,patent,PT-0058,CL-0211,examination response,2025-10-29,Examination Response for patent PT-0058 - Response to office action required,normal,completed,,2024-12-16,Donna Martin,,,"November 28, 2018",04-02-2023
DL-0150,patent,PT-0059,CL-0208,examination response,14-07-2025,Examination Response for patent PT-0059 - Response to office action required,low,completed,,06-22-2024,Sharon Thompson,1562.57,,2022/06/30,
DL-0151,patent,PT-0059,CL-0208,continuation,05-12-2025,Continuation for patent PT-0059,high,cancelled,,,,1051.12,Legacy deadline record,07/31/2019,02/13/23
DL-0152,patent,PT-0059,CL-0208,filing,09/18/24,Filing for patent PT-0059,low,overdue,,,,4627.04,,04-23-2022,
DL-0153,patent,PT-0059,CL-0208,continuation,"August 22, 2025",Continuation for patent PT-0059,normal,overdue,,,,,,16/12/2022,
DL-0154,patent,PT-0060,CL-0344,renewal,09/12/25,Renewal for patent PT-0060 - Fee payment required,urgent,overdue,,,,4973.39,,2019-06-03,
DL-0155,patent,PT-0061,CL-0315,renewal,09 March 2026,Renewal for patent PT-0061 - Fee payment required,normal,pending,Y,,,1718.75,,03/05/2022,01/11/23
DL-0156,patent,PT-0062,CL-0369,continuation,07/05/25,Continuation for patent PT-0062,high,cancelled,,,,3074.63,,19 July 2022,18/05/24
DL-0157,patent,PT-0062,CL-0369,annuity,06/16/27,Annuity for patent PT-0062,high,cancelled,,,,905.01,,10-06-2020,08/02/24
DL-0158,patent,PT-0062,CL-0369,continuation,"October 10, 2027",Continuation for patent PT-0062,urgent,pending,no,,,,,24-12-2021,
DL-0159,patent,PT-0062,CL-0369,filing,07 October 2024,Filing for patent PT-0062,medium,completed,,08-30-2023,Patricia Morris,3029.37,,2019-09-11,
DL-0160,patent,PT-0063,CL-0264,annuity,29-07-2025,Annuity for patent PT-0063,critical,cancelled,,,,,,11/03/21,
DL-0161,patent,PT-0063,CL-0264,renewal,20-01-2029,Renewal for patent PT-0063 - Fee payment required,medium,cancelled,,,,,,12/05/2020,2024-11-20
DL-0162,patent,PT-0063,CL-0264,continuation,24 September 2027,Continuation for patent PT-0063,critical,pending,yes,,,2091.69,,13/04/2022,
DL-0163,patent,PT-0064,CL-0262,examination response,25/05/2024,Examination Response for patent PT-0064 - Response to office action required,medium,pending,Y,,,4897.82,,08 July 2022,
DL-0164,patent,PT-0065,CL-0435,annuity,"December 08, 2026",Annuity for patent PT-0065,urgent,cancelled,,,,2773.37,,Unknown,
DL-0165,patent,PT-0065,CL-0435,annuity,Unknown,Annuity for patent PT-0065,high,completed,,2023/04/01,Karen Smith,,,06 May 2019,2024-09-06
DL-0166,patent,PT-0065,CL-0435,renewal,25 May 2029,Renewal for patent PT-0065 - Fee payment required,low,pending,Y,,,1817.29,,23-10-2021,
DL-0167,patent,PT-0066,CL-0421,renewal,2028/01/29,Renewal for patent PT-0066 - Fee payment required,medium,completed,,"August 12, 2024",Carol Morris,3994.24,Legacy deadline record,21 December 2023,
DL-0168,patent,PT-0066,CL-0421,continuation,31/03/27,Continuation for patent PT-0066,urgent,pending,,,,1957.08,,04/01/2022,2023/05/23
DL-0169,patent,PT-0066,CL-0421,continuation,"October 01, 2026",Continuation for patent PT-0066,normal,completed,,09/17/2023,Dorothy Williams,2121.15,,10-10-2022,02-27-2023
DL-0170,patent,PT-0066,CL-0421,examination response,17/05/2024,Examination Response for patent PT-0066 - Response to office action required,urgent,overdue,,,,556.63,,2023/03/20,
DL-0171,patent,PT-0067,CL-0102,filing,07/10/26,Filing for patent PT-0067,critical,cancelled,,,,,,08-10-2023,
DL-0172,patent,PT-0067,CL-0102,filing,2025-12-08,Filing for patent PT-0067,medium,cancelled,,,,286.79,,18/10/22,30/06/23
DL-0173,patent,PT-0067,CL-0102,annuity,2024/12/08,Annuity for patent PT-0067,low,cancelled,,,,3084.95,,09/29/2018,
DL-0174,patent,PT-0067,CL-0102,renewal,"December 25, 2027",Renewal for patent PT-0067 - Fee payment required,normal,pending,yes,,,2862.5,,2021/12/26,12/10/2023
DL-0175,patent,PT-0068,CL-0352,examination response,01-02-2024,Examination Response for patent PT-0068 - Response to office action required,high,overdue,,,,,,10-01-2021,
DL-0176,patent,PT-0069,CL-0330,filing,Unknown,Filing for patent PT-0069,critical,pending,,,,2773.99,,2020-08-26,
DL-0177,patent,PT-0069,CL-0330,annuity,"November 29, 2027",Annuity for patent PT-0069,urgent,overdue,,,,4255.7,,30 July 2020,
DL-0178,patent,PT-0070,CL-0384,filing,2024-09-15,Filing for patent PT-0070,high,pending,N,,,3345.38,,20-07-2021,
DL-0179,patent,PT-0070,CL-0384,renewal,01/04/2026,Renewal for patent PT-0070 - Fee payment required,urgent,pending,no,,,3218.82,,N/A,
