tm_id,client_id,mark_text,mark_type,mark_description,goods_services,nice_classes,vienna_classes,application_number,registration_number,filing_date,priority_date,publication_date,registration_date,renewal_date,expiry_date,jurisdiction,trademark_office,status,opposition_period_end,use_basis,first_use_date,first_use_commerce_date,attorney_ref,internal_ref,estimated_cost,actual_cost,created_on,modified_on,notes
TM-0018,CL-0046,SYSTEMCORE,combined,Trademark for SYSTEMCORE,Food and beverages,"18,38,32","27.05.01, 26.01.03",90/411602,,05-26-2023,11/05/18,1900-01-01,,,,Europe,EUIPO,cancelled,,,,,ATT-2024,,5911.17,9850.45,2020-12-17,05/02/24,Legacy trademark record
TM-0019,CL-0126,HEALTHPRO112,logo,Trademark for HEALTHPRO112,Medical devices,"5, 35","27.05.01, 26.01.03",87/748472,6833241,2023/03/12,,,,,,USA,USPTO,opposed,,1(b),,,,,14419.19,4282.05,20 May 2021,23-10-2024,
TM-0020,CL-0425,AUTOTECH,design,Trademark for AUTOTECH,Financial services,"10,11",,90/637596,5308474,16 September 2018,08-26-2022,,,,,EU,EUIPO,expired,,,,,ATT-6886,TM-INT-7581,6294.89,9574.32,30/10/18,,
TM-0021,CL-0076,MEDTECH,composite,,Educational services,"16,41,17",,88/952252,5446845,09-12-2020,,,,,,JP,JPO,cancelled,,,,,ATT-2973,TM-INT-7356,9453.31,1816.49,"April 29, 2022",07 December 2023,Legacy trademark record
TM-0022,CL-0109,CARTECH209,design,Trademark for CARTECH209,Financial services,28,,90/485820,,,,"July 26, 2024",,,,JP,JPO,registered,,,,,ATT-1178,TM-INT-4839,,8553.86,14-07-2021,,
TM-0023,CL-0065,ECOPACK,design,Trademark for ECOPACK,Computer software and hardware,38,,88/485181,6618251,2019-11-26,,,,,,USA,USPTO,cancelled,,intent-to-use,,,,,9062.28,4472.52,02-06-2018,2023-02-05,
TM-0024,CL-0412,MEDTECH,design,Trademark for MEDTECH,Medical devices,"3, 41","27.05.01, 26.01.03",90/806730,,2023-10-25,29/05/20,17/05/2023,,,,US,USPTO,expired,,use-in-commerce,11/25/19,,ATT-9661,TM-INT-1701,1004.88,10496.39,02-14-2018,,
TM-0025,CL-0115,HEALTHPRO468,composite,,Medical devices,"28,44",,88/697947,,2018-01-25,,04/01/2019,31/07/2020,15/09/28,2030-09-18,US,USPTO,published,,use-in-commerce,24/01/2017,06/06/18,ATT-8154,TM-INT-6876,4995.38,954.25,21/05/2020,25/05/2024,
TM-0026,CL-0493,SYSTEMCORE,,,Clothing and apparel,"20,21,32",,90/708702,,06/20/20,,,,,,EU,EUIPO,pending,,,,,ATT-3750,TM-INT-2913,,,01/10/21,2023/07/25,Legacy trademark record
TM-0027,CL-0250,CARTECH,logo,Trademark for CARTECH,Automotive parts,"5,28,30","27.05.01, 26.01.03",88/810314,,29/05/20,,2021/05/17,,,,JP,JPO,abandoned,,,,,ATT-8313,TM-INT-1381,14820.89,2073.6,2018/12/03,,
TM-0028,CL-0446,DATATECH,composite,,Pharmaceutical preparations,"19,11,41",,87/573189,5268918,08-08-2023,18/01/20,,2023/02/07,21 April 2030,12/06/2029,CN,CNIPA,abandoned,,,,,ATT-1477,TM-INT-9435,1924.96,914.26,08/26/22,,
TM-0029,CL-0151,NEXGEN,combined,Trademark for NEXGEN,Construction materials,"5,41,16","27.05.01, 26.01.03",88/246527,,2018/05/09,10/18/19,,,,,GB,UKIPO,registered,,,,,ATT-6440,TM-INT-3015,8100.88,3267.25,01-29-2023,19/12/24,
TM-0030,CL-0008,TECHPRO114,word,,Clothing and apparel,"25,30",,89/530578,6955109,"June 25, 2021",,12-05-2021,04/07/2024,04-25-2028,"March 24, 2030",DE,DPMA,abandoned,,,,,ATT-2208,TM-INT-2221,1173.41,11573.73,23 February 2018,N/A,
TM-0031,CL-0380,CYBERTECH188,composite,,Food and beverages,"16, 42",,90/419393,,21/01/20,2020-11-25,,2020-05-30,2027/06/29,Unknown,EU,EUIPO,abandoned,,,,,,TM-INT-7116,9034.62,9953.63,19/10/18,,
TM-0032,CL-0126,SYSTEMTECH,word,,Computer software and hardware,28,,90/111123,,"June 26, 2023",29/06/2018,,18 January 2024,09-08-2025,25/12/30,Europe,EUIPO,cancelled,,,,,,TM-INT-4318,1346.57,10078.78,21/03/2020,05/21/2023,
TM-0033,CL-0451,DRIVETEC,design,Trademark for DRIVETEC,Medical devices,"19,29",,89/251507,5891563,09/16/22,16 June 2022,,01/01/20,06-05-2029,2029/01/11,United States,USPTO,registered,,1(b),,,ATT-3466,TM-INT-1001,12487.36,,09/18/2021,04-12-2024,
TM-0034,CL-0278,CYBERSHIELD,combined,Trademark for CYBERSHIELD,Food and beverages,"25,1","27.05.01, 26.01.03",90/841138,,01/21/2023,,12/02/22,,,,US,USPTO,pending,,,,,,TM-INT-8426,13541.95,,"October 23, 2023",19/12/24,
TM-0035,CL-0441,TECHSTREAM,logo,Trademark for TECHSTREAM,Food and beverages,"41, 45","27.05.01, 26.01.03",88/439988,6723256,20 March 2023,,,,,,DE,DPMA,expired,,,,,ATT-5271,TM-INT-3756,1540.4,,2020/07/01,,
TM-0036,CL-0430,DATAFLOW57,word,,Food and beverages,"5,10",,87/921783,5954307,"June 25, 2018",01/11/18,2019-04-05,,,,Europe,EUIPO,pending,,,,,,,12098.53,,Unknown,16-08-2023,
TM-0037,CL-0179,CYBERSHIELD,design,Trademark for CYBERSHIELD,Medical devices,28,"27.05.01, 26.01.03",88/729618,,31-01-2023,,2020-11-26,,,,GB,UKIPO,expired,,,,,ATT-6730,TM-INT-9680,14046.32,7867.36,16-10-2022,27/11/2024,
TM-0038,CL-0165,CYBERSHIELD,composite,,Automotive parts,"17, 11",,88/408912,,31/10/21,,06-08-2024,2020-12-10,16-06-2028,04-09-2033,US,USPTO,published,,1(a),,,ATT-8200,,,,09/10/22,,
TM-0039,CL-0358,NOVALUX,design,Trademark for NOVALUX,Clothing and apparel,5,,88/644986,,10/01/2019,2018/07/23,,06/16/24,02-22-2030,02-16-2028,JP,JPO,cancelled,,,,,,TM-INT-2944,3765.89,,09-13-2020,,
TM-0040,CL-0053,DATAFLOW,logo,Trademark for DATAFLOW,Clothing and apparel,"29, 28, 44",,89/397450,,05-04-2021,"March 24, 2019",00/00/0000,13/09/2022,28/11/30,29/12/31,CN,CNIPA,abandoned,,,,,ATT-2451,,10211.77,,2020-06-01,2023/11/20,
TM-0041,CL-0064,CAREPLUS400,word,,Clothing and apparel,"28, 3",,90/605752,,2020-09-06,,2022-09-29,,,,DE,DPMA,published,,,,,ATT-4867,TM-INT-9520,7592.11,,19/09/2020,,
TM-0042,CL-0269,LIFETEC,composite,,Food and beverages,11,,87/401649,5021250,28 September 2022,,01/22/2022,15 September 2020,02-15-2027,"June 26, 2028",CN,CNIPA,published,,,,,ATT-7862,TM-INT-8870,12931.14,,29/05/19,,Legacy trademark record
TM-0043,CL-0157,LIFETEC,,,Financial services,25,,88/201796,,13 May 2022,,23/12/2019,25-05-2020,25 October 2027,01/24/2029,EU,EUIPO,expired,,,,,ATT-2120,TM-INT-6061,2541.61,6848.52,17/10/2020,28/12/2024,
TM-0044,CL-0379,TECHMASTER771,composite,,Educational services,10,,90/241887,,01/10/2020,,,11/16/20,2028-08-29,14/06/2030,EU,EUIPO,registered,,,,,ATT-6695,,9613.35,,14 July 2020,02-01-2024,
TM-0045,CL-0328,TECHSTREAM,design,Trademark for TECHSTREAM,Pharmaceutical preparations,"41,11","27.05.01, 26.01.03",90/960661,,2023-11-03,,,01 May 2023,23-12-2030,2033-11-17,CN,CNIPA,expired,,,,,ATT-1504,,4502.19,6510.4,2018-02-22,,Legacy trademark record
TM-0046,CL-0275,DATASYNC99,composite,,Telecommunications services,"42, 12, 32",,88/884317,5439185,04 September 2018,12/25/2020,16 November 2021,04/17/22,06/08/27,02/10/2033,US,USPTO,registered,,1(a),23 October 2015,27-10-2017,ATT-7124,TM-INT-8371,5978.27,,2020-04-14,,Legacy trademark record
TM-0047,CL-0398,LIFETEC,logo,Trademark for LIFETEC,Automotive parts,"38, 16",,89/911914,,08/06/2023,06 August 2021,10/07/23,,,,JP,JPO,abandoned,,,,,ATT-9840,TM-INT-9890,3449.51,3423.37,2019-01-18,04/15/23,
TM-0048,CL-0364,DATASYNC335,,,Food and beverages,1,,89/542928,5593595,05/29/2022,,2019-08-15,,,,JP,JPO,opposed,,,,,ATT-2987,TM-INT-4004,,4639.15,10-20-2021,07/18/23,
TM-0049,CL-0270,SYSTEMCORE,logo,Trademark for SYSTEMCORE,Medical devices,32,"27.05.01, 26.01.03",88/473845,,18/02/2020,,"February 09, 2019",,,,DE,DPMA,registered,,,,,ATT-6292,TM-INT-8918,,,06 January 2022,05/16/2024,
TM-0050,CL-0127,TECHPRO832,combined,Trademark for TECHPRO832,Automotive parts,17,,88/660601,,2019-09-19,,,2023/03/16,06/03/28,12-24-2033,US,USPTO,abandoned,,use-in-commerce,2016-10-03,"September 01, 2016",,TM-INT-9724,5849.76,,03-07-2019,,Legacy trademark record
TM-0051,CL-0478,GREENTECH390,logo,Trademark for GREENTECH390,Automotive parts,"42, 38, 44","27.05.01, 26.01.03",90/297890,6732790,01/02/2018,,,05-04-2021,30 December 2030,"January 29, 2031",DE,DPMA,expired,,,,,ATT-9509,TM-INT-4329,3211.54,,09/20/23,,
TM-0052,CL-0190,TECHMASTER,design,Trademark for TECHMASTER,Educational services,"12,19",,87/643392,,2020/12/18,03/05/2020,,03/07/2024,04/29/29,2032-03-16,JP,JPO,pending,,,,,,TM-INT-6332,12048.36,,2021/02/08,26-11-2024,Legacy trademark record
TM-0053,CL-0406,NATURALS,logo,Trademark for NATURALS,Food and beverages,"3, 11",,90/894458,5834529,29/11/20,2020-12-09,,,,,JP,JPO,cancelled,,,,,ATT-2531,TM-INT-9280,12646.39,5193.29,04-10-2023,13/07/24,
TM-0054,CL-0424,HEALTHPRO,combined,Trademark for HEALTHPRO,Medical devices,"18,16",,89/346171,,26-01-2022,01/27/2018,06/14/21,,,,US,USPTO,pending,,1(a),04-21-2022,2021/02/15,,TM-INT-2123,11283.0,,01/12/18,,
TM-0055,CL-0120,NATURALS,composite,,Construction materials,11,,88/843778,6728961,09/07/18,,05/29/20,09/11/21,02/17/30,19/11/2034,USA,USPTO,pending,,intent-to-use,,,,TM-INT-3133,4417.71,2326.05,00/00/0000,,
TM-0056,CL-0078,AUTOTECH,,,Telecommunications services,1,,88/498673,6424495,21-03-2018,,15/07/2022,,,,DE,DPMA,published,2025/11/22,,,,ATT-2425,TM-INT-4397,5395.02,5853.16,"September 04, 2021",03 January 2024,Legacy trademark record
TM-0057,CL-0497,INNOVATEX,design,Trademark for INNOVATEX,Construction materials,19,,90/833137,,11/04/18,,"November 25, 2019",,,,USA,USPTO,expired,,use-in-commerce,Unknown,,,TM-INT-5241,7244.29,4853.81,25/10/2019,01/03/2023,
TM-0058,CL-0066,TECHVISION,,,Medical devices,"19, 16",,90/903141,6635522,06-14-2020,,18 September 2022,,,,CN,CNIPA,abandoned,,,,,,TM-INT-3297,12960.69,1119.29,"September 19, 2018",2024-11-19,
TM-0059,CL-0171,CAREPLUS,design,Trademark for CAREPLUS,Educational services,25,,88/600608,6984905,16 December 2020,,12-28-2021,06/24/2020,20-05-2028,28-09-2034,GB,UKIPO,published,,,,,,TM-INT-9147,,4864.46,2023/09/04,2024/12/26,
TM-0060,CL-0453,SPEEDWAY,composite,,Pharmaceutical preparations,"30,20",,88/905042,,22 July 2020,,11-04-2022,,,,JP,JPO,published,11-13-2025,,,,,TM-INT-3157,9586.03,,11/04/21,,Legacy trademark record
TM-0061,CL-0374,SPEEDWAY,design,Trademark for SPEEDWAY,Educational services,"10,19,1",,90/274538,,02-02-2020,2018/02/26,09/22/2020,,,,US,USPTO,expired,,intent-to-use,,,ATT-3786,TM-INT-3886,7043.14,10346.86,02/15/2020,18 January 2023,Legacy trademark record
TM-0062,CL-0386,SYSTEMCORE,composite,,Telecommunications services,"1,5",,89/413787,5572353,26/01/2022,,,,,,GB,UKIPO,opposed,,,,,ATT-2430,TM-INT-8749,7498.76,6529.65,2021-02-01,08-17-2024,
TM-0063,CL-0385,MOTORPRO,,,Clothing and apparel,45,,89/321702,6886544,07/30/2023,,12/02/2023,"September 08, 2024",30 March 2030,08/09/28,Europe,EUIPO,registered,,,,,ATT-8023,,2530.54,,05/12/2023,,Legacy trademark record
TM-0064,CL-0111,CARTECH,,,Medical devices,21,,89/735932,,09 April 2021,,2020-03-26,,,,USA,USPTO,registered,,intent-to-use,,,,TM-INT-2892,6487.2,,26/03/2019,,Legacy trademark record
TM-0065,CL-0470,BIOSAFE,composite,,Telecommunications services,"12,44,11",,87/300036,,20/04/19,2022-12-03,22/12/2022,,,,DE,DPMA,cancelled,,,,,ATT-5240,TM-INT-1002,6392.39,,"September 30, 2023",,
TM-0066,CL-0108,INNOVATEX,composite,,Construction materials,20,,87/292753,,13/02/22,,03-10-2020,,,,United States,USPTO,pending,,1(a),23 March 2020,2019-09-27,ATT-5965,TM-INT-5503,12405.2,1990.42,2018-12-26,,
TM-0067,CL-0012,MEDTECH,design,Trademark for MEDTECH,Automotive parts,"11, 36, 44","27.05.01, 26.01.03",88/224228,,04 April 2019,1900-01-01,01/09/19,11-24-2022,20-07-2028,"June 20, 2030",GB,UKIPO,pending,,,,,,,8865.13,,10/07/23,,
TM-0068,CL-0397,CAREPLUS775,combined,Trademark for CAREPLUS775,Medical devices,"1,3,20","27.05.01, 26.01.03",87/781780,,25/10/2019,,15/07/2021,,,,JP,JPO,cancelled,,,,,ATT-1317,TM-INT-3005,,4688.95,06-23-2018,03/04/2023,
TM-0069,CL-0129,NEXGEN578,composite,,Clothing and apparel,20,,89/675625,,10/07/2020,23/04/2021,06-04-2021,"April 26, 2024",27-05-2030,01-18-2028,EU,EUIPO,opposed,,,,,ATT-8920,TM-INT-1100,13926.36,6518.38,17 October 2020,10/03/23,
TM-0070,CL-0390,SYSTEMTECH,combined,Trademark for SYSTEMTECH,Educational services,"18,35,20","27.05.01, 26.01.03",89/805422,6571297,15-09-2019,,00/00/0000,,,,DE,DPMA,expired,,,,,ATT-4781,TM-INT-9218,12230.43,4029.05,23/09/20,,Legacy trademark record
TM-0071,CL-0468,TECHPRO,design,Trademark for TECHPRO,Computer software and hardware,28,"27.05.01, 26.01.03",90/777910,,2023/04/09,18 May 2020,07/04/2020,,,,GB,UKIPO,expired,,,,,ATT-4233,TM-INT-4521,7398.57,,07-24-2020,"May 04, 2024",
TM-0072,CL-0151,DATASYNC,word,,Telecommunications services,11,,89/358239,5452815,07-27-2019,1900-01-01,09/26/2024,05/03/21,2028-05-15,31-08-2034,DE,DPMA,expired,,,,,ATT-8336,TM-INT-7403,12820.13,9160.72,21 April 2020,,Legacy trademark record
TM-0073,CL-0242,INNOVATEX,combined,Trademark for INNOVATEX,Computer software and hardware,"11, 17, 32",,88/186757,,06-14-2022,11-16-2018,11/07/22,"September 06, 2021","December 20, 2025",2030-04-14,DE,DPMA,cancelled,,,,,,TM-INT-2994,3698.1,9638.94,"May 07, 2020",,
TM-0074,CL-0445,GREENTECH,logo,Trademark for GREENTECH,Clothing and apparel,"32, 30","27.05.01, 26.01.03",89/389482,5812692,20/04/22,27-09-2019,,,,,US,USPTO,opposed,,intent-to-use,,,ATT-6369,TM-INT-9011,12457.28,,2021/03/23,,Legacy trademark record
TM-0075,CL-0453,CAREPLUS,word,,Financial services,21,,90/304194,,,,31 July 2021,,,,CN,CNIPA,opposed,,,,,ATT-2014,,11408.78,2536.12,12-26-2018,,
TM-0076,CL-0295,NATURALS,combined,Trademark for NATURALS,Computer software and hardware,"25,16,1","27.05.01, 26.01.03",89/394896,5926607,26/11/2019,,03-02-2023,13 June 2021,12/18/2030,2034-01-16,EU,EUIPO,pending,,,,,,TM-INT-2326,3274.73,7247.85,28-02-2023,07 July 2023,
TM-0077,CL-0376,DATASYNC516,design,Trademark for DATASYNC516,Automotive parts,30,"27.05.01, 26.01.03",88/612996,5440731,31/08/2019,13/03/21,,06/28/2020,09/05/2028,"May 25, 2033",CN,CNIPA,pending,,,,,ATT-6391,,10245.87,9513.13,01-01-2019,"March 13, 2024",
TM-0078,CL-0291,CARTECH,,,Pharmaceutical preparations,21,,88/911153,,11/08/23,,,,,,Europe,EUIPO,cancelled,,,,,ATT-2533,,,,2020-05-07,,
TM-0079,CL-0497,SPEEDWAY908,logo,Trademark for SPEEDWAY908,Telecommunications services,"42, 21",,89/298049,,05/08/2020,,01/22/2022,08/09/23,06-08-2028,07/19/29,Europe,EUIPO,registered,,,,,,TM-INT-9829,4352.91,,03/14/18,"July 11, 2024",Legacy trademark record
TM-0080,CL-0390,TECHMASTER137,composite,,Telecommunications services,"29,42,1",,87/734166,5543119,24/08/23,13 October 2022,2022/07/26,,,,USA,USPTO,opposed,,use-in-commerce,,,ATT-1843,TM-INT-1359,9612.98,11637.4,08-31-2019,06-03-2023,
TM-0081,CL-0142,NEXGEN,composite,,Medical devices,"21,10",,88/692647,,Unknown,,05/05/2021,,,,CN,CNIPA,published,,,,,,TM-INT-1056,11420.72,8743.02,18/11/22,,
TM-0082,CL-0207,NEXGEN805,,,Computer software and hardware,"35,11,1",,90/414295,,02/06/22,,11/14/23,,,,United States,USPTO,published,,use-in-commerce,20-02-2019,03/07/2022,,TM-INT-5527,,4602.74,05/27/2023,,
TM-0083,CL-0331,NOVALUX,design,Trademark for NOVALUX,Food and beverages,"20,42,35",,88/460656,6769198,09-12-2018,23-08-2021,08-08-2019,05/21/22,03/07/2027,06-15-2029,Europe,EUIPO,registered,,,,,,TM-INT-4527,10234.39,,07/16/2018,,
TM-0084,CL-0164,ECOPACK,combined,Trademark for ECOPACK,Food and beverages,"41,28","27.05.01, 26.01.03",88/389504,5599801,26/03/21,,02-07-2019,,,,United States,USPTO,opposed,,use-in-commerce,2022-05-26,"April 08, 2022",ATT-4150,TM-INT-3084,11723.52,6594.38,2020/09/04,,
TM-0085,CL-0428,ADVANCEDSYS763,combined,Trademark for ADVANCEDSYS763,Medical devices,"42,28",,90/603829,,09 August 2018,02/04/2020,,,,,GB,UKIPO,published,,,,,ATT-3274,TM-INT-2902,12920.27,4408.7,06/11/20,"October 28, 2023",
TM-0086,CL-0212,TECHVISION,design,Trademark for TECHVISION,Automotive parts,12,,89/717603,,11/18/20,2019/08/20,2023-12-18,,,,Europe,EUIPO,cancelled,,,,,ATT-4587,TM-INT-9463,14024.14,2075.79,23 June 2019,11/16/2023,
TM-0087,CL-0073,CARTECH,logo,Trademark for CARTECH,Computer software and hardware,11,,88/950338,,"January 26, 2021","April 21, 2022",,,,,EU,EUIPO,opposed,,,,,ATT-9434,TM-INT-6299,9118.87,,16/11/2019,10/02/24,Legacy trademark record
TM-0088,CL-0268,MEDTECH,logo,Trademark for MEDTECH,Clothing and apparel,"42,21,9","27.05.01, 26.01.03",90/941450,,2023/03/26,,20-01-2023,11/01/2024,28 December 2026,10 July 2032,CN,CNIPA,expired,,,,,ATT-9548,TM-INT-8826,2949.73,2848.2,13 January 2018,05-01-2023,
TM-0089,CL-0199,DATAFLOW,combined,Trademark for DATAFLOW,Clothing and apparel,"16,10","27.05.01, 26.01.03",88/861996,,"March 02, 2019",12-18-2020,2019/08/27,,,,JP,JPO,abandoned,,,,,,TM-INT-6000,,4310.84,10/11/2019,,
TM-0090,CL-0207,NATURALS,combined,Trademark for NATURALS,Telecommunications services,"35,32",,87/530272,,19/07/2019,,,,,,USA,USPTO,abandoned,,use-in-commerce,03/25/2016,05/26/2022,ATT-5825,TM-INT-1302,6561.97,6128.99,09-05-2021,17 August 2024,
TM-0091,CL-0038,DATASYNC355,composite,,Pharmaceutical preparations,"21,44",,88/272216,5988721,25/02/22,07-04-2019,,N/A,2028/12/09,06/03/2034,EU,EUIPO,registered,,,,,ATT-1209,TM-INT-1234,9870.1,9766.4,03 January 2022,,
TM-0092,CL-0040,NEXGEN,logo,Trademark for NEXGEN,Medical devices,"38,5,44","27.05.01, 26.01.03",87/209756,,Unknown,,10/15/24,,,,JP,JPO,abandoned,,,,,,TM-INT-1115,,7268.49,06/02/19,10/21/2024,
TM-0093,CL-0354,GREENTECH,combined,Trademark for GREENTECH,Clothing and apparel,"45,1,16","27.05.01, 26.01.03",87/324593,,29 May 2023,06/01/19,2021/05/12,,,,US,USPTO,published,,use-in-commerce,04/28/2022,"September 02, 2022",ATT-5724,TM-INT-8063,14210.32,,"June 29, 2018",,
TM-0094,CL-0198,CARTECH29,,,Construction materials,12,,88/464527,,13-01-2020,11/20/2022,12/17/24,,,,DE,DPMA,pending,,,,,ATT-9933,TM-INT-4084,7567.13,8780.83,04/23/2022,,Legacy trademark record
TM-0095,CL-0103,TECHPRO,word,,Computer software and hardware,"30,17",,90/659822,6946768,30/09/2023,,03/02/2019,2020/08/28,21/02/2029,2032/12/12,GB,UKIPO,abandoned,,,,,,TM-INT-5806,,6523.01,01-21-2019,,
TM-0096,CL-0317,DATATECH,design,Trademark for DATATECH,Automotive parts,5,"27.05.01, 26.01.03",88/882005,,29/03/18,"December 09, 2019",11 July 2020,,,,DE,DPMA,opposed,,,,,ATT-7563,TM-INT-8104,14837.4,1221.86,02/16/2018,,
TM-0097,CL-0088,ADVANCEDSYS,design,Trademark for ADVANCEDSYS,Automotive parts,"1, 42",,88/473385,,26 December 2021,01/03/2022,,01-23-2023,11/05/28,12 November 2030,GB,UKIPO,abandoned,,,,,,TM-INT-9755,10785.24,8646.14,21-05-2021,11 May 2024,Legacy trademark record
TM-0098,CL-0376,CARTECH,logo,Trademark for CARTECH,Medical devices,"38,44,1","27.05.01, 26.01.03",89/418400,6361004,04-21-2023,,14/04/2022,,,,GB,UKIPO,pending,,,,,,TM-INT-3696,10375.52,862.58,23/06/22,06-05-2023,
TM-0099,CL-0082,WELLNESS,,,Food and beverages,"9,10",,89/680671,,05/13/2021,,19/12/22,,,,USA,USPTO,cancelled,,1(a),N/A,05 April 2017,ATT-6380,TM-INT-7029,9075.8,,2021/04/11,05-21-2024,
TM-0100,CL-0121,MOTORPRO577,combined,Trademark for MOTORPRO577,Clothing and apparel,"36,11",,88/614871,,"April 17, 2018",12/07/2022,,,,,EU,EUIPO,published,19-04-2025,,,,ATT-6668,TM-INT-2610,8904.78,,05/28/20,09/25/2023,
TM-0101,CL-0010,ECOPACK618,composite,,Telecommunications services,"28,35,19",,87/327314,,Unknown,,07/30/22,,,,JP,JPO,pending,,,,,ATT-6341,TM-INT-4681,9884.42,,06/20/20,,
TM-0102,CL-0461,SMARTSYS,word,,Medical devices,"45,11",,87/160457,,"February 12, 2022",,26/05/2019,"March 20, 2022",29-04-2030,24 July 2028,USA,USPTO,abandoned,,1(a),04-17-2018,04/07/2023,ATT-2622,TM-INT-9146,11195.07,,08/01/22,,
TM-0103,CL-0285,LIFETEC,combined,Trademark for LIFETEC,Food and beverages,9,"27.05.01, 26.01.03",90/521580,,02/10/2020,2019/06/27,2024-08-06,N/A,12/09/2025,N/A,Europe,EUIPO,pending,,,,,,TM-INT-1005,12952.05,2090.52,11/14/2021,2023-07-27,
